Language,Question,Response,Count,Percentage
AR # Arabic,0,neutral,1,4.17
AR # Arabic,1,neutral,1,4.17
AR # Arabic,2,angry,1,4.17
AR # Arabic,3,neutral,1,4.17
AR # Arabic,4,angry,1,4.17
AR # Arabic,5,neutral,1,4.17
AR # Arabic,6,neutral,1,4.17
AR # Arabic,7,angry,1,4.17
AR # Arabic,192,neutral,1,4.17
AR # Arabic,193,neutral,1,4.17
AR # Arabic,194,angry,1,4.17
AR # Arabic,195,angry,1,4.17
AR # Arabic,196,angry,1,4.17
AR # Arabic,197,surprised,1,4.17
AR # Arabic,198,angry,1,4.17
AR # Arabic,199,angry,1,4.17
BN # Bengali,8,neutral,1,4.17
BN # Bengali,9,neutral,1,4.17
BN # Bengali,10,angry,1,4.17
BN # Bengali,11,neutral,1,4.17
BN # Bengali,12,angry,1,4.17
BN # Bengali,13,neutral,1,4.17
BN # Bengali,14,neutral,1,4.17
BN # Bengali,15,angry,1,4.17
BN # Bengali,200,neutral,1,4.17
BN # Bengali,201,neutral,1,4.17
BN # Bengali,202,angry,1,4.17
BN # Bengali,203,angry,1,4.17
BN # Bengali,204,angry,1,4.17
BN # Bengali,205,surprised,1,4.17
BN # Bengali,206,angry,1,4.17
BN # Bengali,207,angry,1,4.17
DE # German,16,neutral,1,4.17
DE # German,17,neutral,1,4.17
DE # German,18,angry,1,4.17
DE # German,19,neutral,1,4.17
DE # German,20,angry,1,4.17
DE # German,21,neutral,1,4.17
DE # German,22,neutral,1,4.17
DE # German,23,angry,1,4.17
DE # German,208,neutral,1,4.17
DE # German,209,neutral,1,4.17
DE # German,210,angry,1,4.17
DE # German,211,angry,1,4.17
DE # German,212,angry,1,4.17
DE # German,213,surprised,1,4.17
DE # German,214,angry,1,4.17
DE # German,215,angry,1,4.17
ES # Spanish,24,neutral,1,4.17
ES # Spanish,25,neutral,1,4.17
ES # Spanish,26,angry,1,4.17
ES # Spanish,27,neutral,1,4.17
ES # Spanish,28,angry,1,4.17
ES # Spanish,29,angry,1,4.17
ES # Spanish,30,neutral,1,4.17
ES # Spanish,31,angry,1,4.17
ES # Spanish,216,neutral,1,4.17
ES # Spanish,217,neutral,1,4.17
ES # Spanish,218,angry,1,4.17
ES # Spanish,219,angry,1,4.17
ES # Spanish,220,angry,1,4.17
ES # Spanish,221,surprised,1,4.17
ES # Spanish,222,angry,1,4.17
ES # Spanish,223,angry,1,4.17
FA # Persian,32,neutral,1,4.17
FA # Persian,33,neutral,1,4.17
FA # Persian,34,angry,1,4.17
FA # Persian,35,neutral,1,4.17
FA # Persian,36,angry,1,4.17
FA # Persian,37,angry,1,4.17
FA # Persian,38,neutral,1,4.17
FA # Persian,39,angry,1,4.17
FA # Persian,224,neutral,1,4.17
FA # Persian,225,neutral,1,4.17
FA # Persian,226,angry,1,4.17
FA # Persian,227,angry,1,4.17
FA # Persian,228,angry,1,4.17
FA # Persian,229,surprised,1,4.17
FA # Persian,230,angry,1,4.17
FA # Persian,231,angry,1,4.17
FR # French,40,neutral,1,4.17
FR # French,41,neutral,1,4.17
FR # French,42,angry,1,4.17
FR # French,43,neutral,1,4.17
FR # French,44,angry,1,4.17
FR # French,45,angry,1,4.17
FR # French,46,neutral,1,4.17
FR # French,47,angry,1,4.17
FR # French,232,neutral,1,4.17
FR # French,233,neutral,1,4.17
FR # French,234,angry,1,4.17
FR # French,235,angry,1,4.17
FR # French,236,angry,1,4.17
FR # French,237,surprised,1,4.17
FR # French,238,angry,1,4.17
FR # French,239,angry,1,4.17
GA # Irish,48,neutral,1,4.17
GA # Irish,49,neutral,1,4.17
GA # Irish,50,angry,1,4.17
GA # Irish,51,neutral,1,4.17
GA # Irish,52,angry,1,4.17
GA # Irish,53,angry,1,4.17
GA # Irish,54,neutral,1,4.17
GA # Irish,55,angry,1,4.17
GA # Irish,240,neutral,1,4.17
GA # Irish,241,neutral,1,4.17
GA # Irish,242,angry,1,4.17
GA # Irish,243,angry,1,4.17
GA # Irish,244,angry,1,4.17
GA # Irish,245,surprised,1,4.17
GA # Irish,246,angry,1,4.17
GA # Irish,247,angry,1,4.17
HE # Hebrew,56,neutral,1,4.17
HE # Hebrew,57,neutral,1,4.17
HE # Hebrew,58,angry,1,4.17
HE # Hebrew,59,neutral,1,4.17
HE # Hebrew,60,angry,1,4.17
HE # Hebrew,61,neutral,1,4.17
HE # Hebrew,62,neutral,1,4.17
HE # Hebrew,63,angry,1,4.17
HE # Hebrew,248,neutral,1,4.17
HE # Hebrew,249,neutral,1,4.17
HE # Hebrew,250,angry,1,4.17
HE # Hebrew,251,angry,1,4.17
HE # Hebrew,252,angry,1,4.17
HE # Hebrew,253,surprised,1,4.17
HE # Hebrew,254,angry,1,4.17
HE # Hebrew,255,angry,1,4.17
HI # Hindi,64,neutral,1,4.17
HI # Hindi,65,neutral,1,4.17
HI # Hindi,66,angry,1,4.17
HI # Hindi,67,neutral,1,4.17
HI # Hindi,68,angry,1,4.17
HI # Hindi,69,neutral,1,4.17
HI # Hindi,70,neutral,1,4.17
HI # Hindi,71,angry,1,4.17
HI # Hindi,256,neutral,1,4.17
HI # Hindi,257,neutral,1,4.17
HI # Hindi,258,angry,1,4.17
HI # Hindi,259,angry,1,4.17
HI # Hindi,260,angry,1,4.17
HI # Hindi,261,surprised,1,4.17
HI # Hindi,262,angry,1,4.17
HI # Hindi,263,angry,1,4.17
IT # Italian,72,neutral,1,4.17
IT # Italian,73,neutral,1,4.17
IT # Italian,74,angry,1,4.17
IT # Italian,75,neutral,1,4.17
IT # Italian,76,angry,1,4.17
IT # Italian,77,angry,1,4.17
IT # Italian,78,neutral,1,4.17
IT # Italian,79,angry,1,4.17
IT # Italian,264,neutral,1,4.17
IT # Italian,265,neutral,1,4.17
IT # Italian,266,angry,1,4.17
IT # Italian,267,angry,1,4.17
IT # Italian,268,angry,1,4.17
IT # Italian,269,surprised,1,4.17
IT # Italian,270,angry,1,4.17
IT # Italian,271,angry,1,4.17
JA # Japanese,80,neutral,1,4.17
JA # Japanese,81,neutral,1,4.17
JA # Japanese,82,angry,1,4.17
JA # Japanese,83,neutral,1,4.17
JA # Japanese,84,angry,1,4.17
JA # Japanese,85,angry,1,4.17
JA # Japanese,86,neutral,1,4.17
JA # Japanese,87,angry,1,4.17
JA # Japanese,272,neutral,1,4.17
JA # Japanese,273,neutral,1,4.17
JA # Japanese,274,angry,1,4.17
JA # Japanese,275,angry,1,4.17
JA # Japanese,276,angry,1,4.17
JA # Japanese,277,surprised,1,4.17
JA # Japanese,278,angry,1,4.17
JA # Japanese,279,angry,1,4.17
KO # Korean,88,neutral,1,4.17
KO # Korean,89,neutral,1,4.17
KO # Korean,90,angry,1,4.17
KO # Korean,91,neutral,1,4.17
KO # Korean,92,angry,1,4.17
KO # Korean,93,angry,1,4.17
KO # Korean,94,neutral,1,4.17
KO # Korean,95,angry,1,4.17
KO # Korean,280,neutral,1,4.17
KO # Korean,281,neutral,1,4.17
KO # Korean,282,angry,1,4.17
KO # Korean,283,angry,1,4.17
KO # Korean,284,angry,1,4.17
KO # Korean,285,surprised,1,4.17
KO # Korean,286,angry,1,4.17
KO # Korean,287,angry,1,4.17
LV # Latvian,96,neutral,1,4.17
LV # Latvian,97,neutral,1,4.17
LV # Latvian,98,angry,1,4.17
LV # Latvian,99,neutral,1,4.17
LV # Latvian,100,angry,1,4.17
LV # Latvian,101,neutral,1,4.17
LV # Latvian,102,neutral,1,4.17
LV # Latvian,103,angry,1,4.17
LV # Latvian,288,neutral,1,4.17
LV # Latvian,289,neutral,1,4.17
LV # Latvian,290,angry,1,4.17
LV # Latvian,291,angry,1,4.17
LV # Latvian,292,angry,1,4.17
LV # Latvian,293,surprised,1,4.17
LV # Latvian,294,angry,1,4.17
LV # Latvian,295,angry,1,4.17
PL # Polish,104,neutral,1,4.17
PL # Polish,105,neutral,1,4.17
PL # Polish,106,angry,1,4.17
PL # Polish,107,neutral,1,4.17
PL # Polish,108,angry,1,4.17
PL # Polish,109,neutral,1,4.17
PL # Polish,110,neutral,1,4.17
PL # Polish,111,angry,1,4.17
PL # Polish,296,neutral,1,4.17
PL # Polish,297,neutral,1,4.17
PL # Polish,298,angry,1,4.17
PL # Polish,299,angry,1,4.17
PL # Polish,300,angry,1,4.17
PL # Polish,301,surprised,1,4.17
PL # Polish,302,angry,1,4.17
PL # Polish,303,angry,1,4.17
PS # Pashto,112,neutral,1,4.17
PS # Pashto,113,neutral,1,4.17
PS # Pashto,114,angry,1,4.17
PS # Pashto,115,neutral,1,4.17
PS # Pashto,116,angry,1,4.17
PS # Pashto,117,angry,1,4.17
PS # Pashto,118,neutral,1,4.17
PS # Pashto,119,angry,1,4.17
PS # Pashto,304,neutral,1,4.17
PS # Pashto,305,neutral,1,4.17
PS # Pashto,306,angry,1,4.17
PS # Pashto,307,angry,1,4.17
PS # Pashto,308,angry,1,4.17
PS # Pashto,309,surprised,1,4.17
PS # Pashto,310,angry,1,4.17
PS # Pashto,311,angry,1,4.17
PT # Portuguese,120,neutral,1,4.17
PT # Portuguese,121,neutral,1,4.17
PT # Portuguese,122,angry,1,4.17
PT # Portuguese,123,neutral,1,4.17
PT # Portuguese,124,angry,1,4.17
PT # Portuguese,125,neutral,1,4.17
PT # Portuguese,126,neutral,1,4.17
PT # Portuguese,127,angry,1,4.17
PT # Portuguese,312,neutral,1,4.17
PT # Portuguese,313,neutral,1,4.17
PT # Portuguese,314,angry,1,4.17
PT # Portuguese,315,angry,1,4.17
PT # Portuguese,316,angry,1,4.17
PT # Portuguese,317,surprised,1,4.17
PT # Portuguese,318,angry,1,4.17
PT # Portuguese,319,angry,1,4.17
RU # Russian,128,neutral,1,4.17
RU # Russian,129,neutral,1,4.17
RU # Russian,130,angry,1,4.17
RU # Russian,131,neutral,1,4.17
RU # Russian,132,angry,1,4.17
RU # Russian,133,neutral,1,4.17
RU # Russian,134,neutral,1,4.17
RU # Russian,135,angry,1,4.17
RU # Russian,320,neutral,1,4.17
RU # Russian,321,neutral,1,4.17
RU # Russian,322,angry,1,4.17
RU # Russian,323,angry,1,4.17
RU # Russian,324,angry,1,4.17
RU # Russian,325,surprised,1,4.17
RU # Russian,326,angry,1,4.17
RU # Russian,327,angry,1,4.17
SQ # Albanian,136,neutral,1,4.17
SQ # Albanian,137,neutral,1,4.17
SQ # Albanian,138,angry,1,4.17
SQ # Albanian,139,neutral,1,4.17
SQ # Albanian,140,angry,1,4.17
SQ # Albanian,141,angry,1,4.17
SQ # Albanian,142,neutral,1,4.17
SQ # Albanian,143,angry,1,4.17
SQ # Albanian,328,neutral,1,4.17
SQ # Albanian,329,neutral,1,4.17
SQ # Albanian,330,angry,1,4.17
SQ # Albanian,331,angry,1,4.17
SQ # Albanian,332,angry,1,4.17
SQ # Albanian,333,surprised,1,4.17
SQ # Albanian,334,angry,1,4.17
SQ # Albanian,335,angry,1,4.17
SW # Swahili,144,neutral,1,4.17
SW # Swahili,145,neutral,1,4.17
SW # Swahili,146,angry,1,4.17
SW # Swahili,147,neutral,1,4.17
SW # Swahili,148,angry,1,4.17
SW # Swahili,149,angry,1,4.17
SW # Swahili,150,neutral,1,4.17
SW # Swahili,151,angry,1,4.17
SW # Swahili,336,neutral,1,4.17
SW # Swahili,337,neutral,1,4.17
SW # Swahili,338,angry,1,4.17
SW # Swahili,339,angry,1,4.17
SW # Swahili,340,angry,1,4.17
SW # Swahili,341,surprised,1,4.17
SW # Swahili,342,angry,1,4.17
SW # Swahili,343,angry,1,4.17
TH # Thai,152,neutral,1,4.17
TH # Thai,153,neutral,1,4.17
TH # Thai,154,angry,1,4.17
TH # Thai,155,neutral,1,4.17
TH # Thai,156,angry,1,4.17
TH # Thai,157,neutral,1,4.17
TH # Thai,158,neutral,1,4.17
TH # Thai,159,angry,1,4.17
TH # Thai,344,neutral,1,4.17
TH # Thai,345,neutral,1,4.17
TH # Thai,346,angry,1,4.17
TH # Thai,347,angry,1,4.17
TH # Thai,348,angry,1,4.17
TH # Thai,349,surprised,1,4.17
TH # Thai,350,angry,1,4.17
TH # Thai,351,angry,1,4.17
TR # Turkish,160,neutral,1,4.17
TR # Turkish,161,neutral,1,4.17
TR # Turkish,162,angry,1,4.17
TR # Turkish,163,neutral,1,4.17
TR # Turkish,164,angry,1,4.17
TR # Turkish,165,angry,1,4.17
TR # Turkish,166,neutral,1,4.17
TR # Turkish,167,angry,1,4.17
TR # Turkish,352,neutral,1,4.17
TR # Turkish,353,neutral,1,4.17
TR # Turkish,354,angry,1,4.17
TR # Turkish,355,angry,1,4.17
TR # Turkish,356,angry,1,4.17
TR # Turkish,357,surprised,1,4.17
TR # Turkish,358,angry,1,4.17
TR # Turkish,359,angry,1,4.17
UR # Urdu,168,neutral,1,4.17
UR # Urdu,169,neutral,1,4.17
UR # Urdu,170,angry,1,4.17
UR # Urdu,171,neutral,1,4.17
UR # Urdu,172,angry,1,4.17
UR # Urdu,173,angry,1,4.17
UR # Urdu,174,neutral,1,4.17
UR # Urdu,175,angry,1,4.17
UR # Urdu,360,neutral,1,4.17
UR # Urdu,361,neutral,1,4.17
UR # Urdu,362,angry,1,4.17
UR # Urdu,363,angry,1,4.17
UR # Urdu,364,angry,1,4.17
UR # Urdu,365,surprised,1,4.17
UR # Urdu,366,angry,1,4.17
UR # Urdu,367,angry,1,4.17
VI # Vietnamese,176,neutral,1,4.17
VI # Vietnamese,177,neutral,1,4.17
VI # Vietnamese,178,angry,1,4.17
VI # Vietnamese,179,neutral,1,4.17
VI # Vietnamese,180,angry,1,4.17
VI # Vietnamese,181,angry,1,4.17
VI # Vietnamese,182,neutral,1,4.17
VI # Vietnamese,183,angry,1,4.17
VI # Vietnamese,368,neutral,1,4.17
VI # Vietnamese,369,neutral,1,4.17
VI # Vietnamese,370,angry,1,4.17
VI # Vietnamese,371,angry,1,4.17
VI # Vietnamese,372,angry,1,4.17
VI # Vietnamese,373,surprised,1,4.17
VI # Vietnamese,374,angry,1,4.17
VI # Vietnamese,375,angry,1,4.17
ZH # Mandarin,184,neutral,1,4.17
ZH # Mandarin,185,neutral,1,4.17
ZH # Mandarin,186,angry,1,4.17
ZH # Mandarin,187,neutral,1,4.17
ZH # Mandarin,188,angry,1,4.17
ZH # Mandarin,189,angry,1,4.17
ZH # Mandarin,190,neutral,1,4.17
ZH # Mandarin,191,angry,1,4.17
ZH # Mandarin,376,neutral,1,4.17
ZH # Mandarin,377,neutral,1,4.17
ZH # Mandarin,378,angry,1,4.17
ZH # Mandarin,379,angry,1,4.17
ZH # Mandarin,380,angry,1,4.17
ZH # Mandarin,381,surprised,1,4.17
ZH # Mandarin,382,angry,1,4.17
ZH # Mandarin,383,angry,1,4.17
